caesar,1710770285.6384,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710770285.6384-CT_128sg-256sg-256sg-128sg,loss:4.779043365488178e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:1.3465706615534145e-05;val_bitwise_loss:0.0;val_full_loss:0.0;
caesar,1710770595,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710770595-CT_128sg-256sg-256sg-128sg,loss:4.838587415179063e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:3.9874499634606764e-05;val_bitwise_loss:3.820293568423949e-05;val_full_loss:0.0024449878837913275;
caesar,1710770678,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710770678-CT_128sg-256sg-256sg-128sg,loss:4.970027589479287e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:1.6587127902312204e-05;val_bitwise_loss:0.0;val_full_loss:0.0;
caesar,1710770770,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710770770-CT_128sg-256sg-256sg-128sg,loss:4.862069431510463e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:1.9761686417041346e-05;val_bitwise_loss:0.0;val_full_loss:0.0;
caesar,1710770912,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710770912-CT_128sg-256sg-256sg-128sg,loss:4.845448415835563e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:1.556315692141652e-05;val_bitwise_loss:0.0;val_full_loss:0.0;
caesar,1710771173,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710771173-CT_128sg-256sg-256sg-128sg,loss:4.773048090100929e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:1.3248253708297852e-05;val_bitwise_loss:0.0;val_full_loss:0.0;
caesar,1710837845,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710837845-CT_128sg-256sg-256sg-128sg,loss:0.021701736375689507;bitwise_loss:0.015782861039042473;full_loss:0.9793870449066162;val_loss:0.1303473860025406;val_bitwise_loss:0.1698024868965149;val_full_loss:1.0;
caesar,1710838009,"No_Config,String 8 lowercase",4096,64,1000,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710838009-CT_128sg-256sg-256sg-128sg,loss:0.0058700586669147015;bitwise_loss:0.005337588023394346;full_loss:0.747491180896759;val_loss:0.15887364745140076;val_bitwise_loss:0.17951558530330658;val_full_loss:1.0;
caesar,1710838244,"No_Config,String 8 lowercase",4096,32,1000,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710838244-CT_128sg-256sg-256sg-128sg,loss:0.008913515135645866;bitwise_loss:0.008240523748099804;full_loss:0.8790344595909119;val_loss:0.20128540694713593;val_bitwise_loss:0.22222647070884705;val_full_loss:1.0;
caesar,1710838497,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710838497-CT_128sg-256sg-256sg-128sg,loss:0.00011917185474885628;bitwise_loss:1.483251980971545e-05;full_loss:0.0018985625356435776;val_loss:0.038984619081020355;val_bitwise_loss:0.050561584532260895;val_full_loss:1.0;
caesar,1710838585,"No_Config,String 8 lowercase",4096,32,1000,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710838585-CT_128sg-256sg-256sg-128sg,loss:4.506928235059604e-06;bitwise_loss:4.23786286773975e-06;full_loss:0.000542446447070688;val_loss:0.031062016263604164;val_bitwise_loss:0.038088325411081314;val_full_loss:0.995110034942627;
caesar,1710839339,"No_Config,String 8 lowercase",4096,32,10000,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710839339-CT_128sg-256sg-256sg-128sg,loss:1.4292224292944411e-08;bitwise_loss:0.0;full_loss:0.0;val_loss:0.02358267456293106;val_bitwise_loss:0.029225245118141174;val_full_loss:0.9682151675224304;
caesar,1710842369,"No_Config,String 8 lowercase",4096,32,250,mean_squared_error,0,CT_128sg-256sg-256sg-128sg,logs/caesar_1710842369-CT_128sg-256sg-256sg-128sg,loss:4.816744763047609e-07;bitwise_loss:0.0;full_loss:0.0;val_loss:2.7032063371734694e-05;val_bitwise_loss:0.0;val_full_loss:0.0;
